priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.6615031,3.7583272,498.9106,3.29,21.723,GODREJIND,2024-07-07
1.6810383,3.8025157,499.1989,3.31,21.852,GODREJIND,2024-07-13
1.6385262,3.7063534,500.39774,3.267,21.571,GODREJIND,2024-07-20
1.7131711,3.7658956,499.97208,3.416,27.572,GODREJIND,2024-07-27
1.7725368,3.8957105,526.0227,3.475,28.048,GODREJIND,2024-08-03
1.6889645,3.712034,501.22162,3.392,27.374,GODREJIND,2024-08-10
1.6986103,3.8109207,149.20099,3.337,20.714,GODREJIND,2024-08-17
1.7630359,3.9554632,156.14618,3.431,21.296,GODREJIND,2024-08-24
1.9044576,4.265378,166.71875,3.569,22.153,GODREJIND,2024-09-01
2.2728274,5.095394,200.14876,3.939,24.449,GODREJIND,2024-09-08
2.2544467,5.0547876,199.8752,3.921,24.337,GODREJIND,2024-09-15
2.257731,5.065307,200.29117,3.926,24.366,GODREJIND,2024-09-21
2.3155928,5.1951222,204.0661,3.983,24.725,GODREJIND,2024-09-28
2.0881784,4.6849093,185.24957,3.756,23.313,GODREJIND,2024-10-05
2.0631378,4.5973845,181.78868,3.717,23.071,GODREJIND,2024-10-12
1.9424459,4.3579526,169.50082,3.61,22.409,GODREJIND,2024-10-19
