priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.9059311,2.6566384,21.09806,0.977,11.715,GOODLUCK,2024-07-07
0.8524424,2.499783,19.839544,0.926,11.103,GOODLUCK,2024-07-13
0.8131129,2.3807843,18.903254,0.888,10.64,GOODLUCK,2024-07-20
0.8704892,2.546731,20.203445,0.942,11.286,GOODLUCK,2024-07-27
0.86845195,2.546731,20.203445,0.942,11.286,GOODLUCK,2024-07-27
0.82264894,2.4494424,19.45678,0.913,10.819,GOODLUCK,2024-08-03
0.8442234,2.516744,20.000002,0.935,11.08,GOODLUCK,2024-08-10
0.820191,2.4442863,19.415823,0.907,10.749,GOODLUCK,2024-08-17
0.81841695,2.4190485,19.19466,0.903,10.702,GOODLUCK,2024-08-24
1.0594666,3.1584132,25.061369,1.144,13.568,GOODLUCK,2024-09-01
1.1175897,3.317711,26.314035,1.197,14.186,GOODLUCK,2024-09-08
1.1209571,3.3380644,26.526852,1.203,14.264,GOODLUCK,2024-09-15
1.1084414,3.3044138,26.248116,1.192,14.134,GOODLUCK,2024-09-21
1.0804505,3.2171662,25.577131,1.164,13.796,GOODLUCK,2024-09-28
1.0164543,3.0301878,23.696943,1.103,13.071,GOODLUCK,2024-10-05
0.9698916,2.8836446,22.574888,1.055,12.503,GOODLUCK,2024-10-12
0.9642015,2.84728,22.271278,1.043,12.362,GOODLUCK,2024-10-19
