dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
2.25,0.0143,0.35209998,,,GPTINFRA
2.25,0.0112,0.35209998,,,GPTINFRA
2.25,0.0138,0.35209998,,,GPTINFRA
2.25,0.013200001,0.35209998,,,GPTINFRA
2.25,0.0134000005,0.4395,,,GPTINFRA
2.25,0.0125,0.4395,,,GPTINFRA
2.25,0.0126,0.4395,,,GPTINFRA
2.25,0.0119,0.4395,,,GPTINFRA
2.25,0.0128,0.4395,,,GPTINFRA
2.25,0.014199999,0.4395,,,GPTINFRA
2.25,0.014099999,0.4395,,,GPTINFRA
2.25,0.0147,0.4395,,,GPTINFRA
2.25,0.0143,0.4395,,,GPTINFRA
2.25,0.0155,0.4395,,,GPTINFRA
2.25,0.0153,0.4395,,,GPTINFRA
2.25,0.015800001,0.4395,,,GPTINFRA
