quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.782,2.759,3.996,0.14279,0.54513,0.18766001,0.15264,0.10829,0.19773,GRINDWELL,2024-07-07
1.782,2.759,3.996,0.14279,0.54513,0.18766001,0.15264,0.10829,0.19773,GRINDWELL,2024-07-13
1.782,2.759,3.996,0.14279,0.54513,0.18766001,0.15264,0.10829,0.19773,GRINDWELL,2024-07-20
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-07-27
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-08-03
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-08-10
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-08-17
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-08-24
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-09-01
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-09-08
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-09-15
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-09-21
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-09-28
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-10-05
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-10-12
,,3.996,0.13944,0.54483,0.18315001,0.1583,,,GRINDWELL,2024-10-19
