dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
6.65,0.010299999,0.4004,,,GUJGASLTD
6.65,0.0105,0.4004,,,GUJGASLTD
6.65,0.0107,0.4004,,,GUJGASLTD
6.65,0.0101,0.4004,,,GUJGASLTD
6.65,0.0109,0.36400002,,,GUJGASLTD
6.65,0.0112,0.36400002,,,GUJGASLTD
5.66,0.0095,0.36400002,,,GUJGASLTD
5.66,0.0093,0.36400002,,,GUJGASLTD
5.66,0.0085,0.36400002,,,GUJGASLTD
5.66,0.0089,0.36400002,,,GUJGASLTD
5.66,0.0091,0.36400002,,,GUJGASLTD
5.66,0.0092,0.36400002,,,GUJGASLTD
5.66,0.0094,0.36400002,,,GUJGASLTD
5.66,0.0101,0.36400002,,,GUJGASLTD
