priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.8283214,2.808898,,1.023,47.812,HARRMALAYA,2024-07-07
0.8784941,2.9726264,,1.072,50.067,HARRMALAYA,2024-07-13
0.867416,2.9414704,,1.062,49.638,HARRMALAYA,2024-07-20
0.88904285,3.0148084,,1.084,50.648,HARRMALAYA,2024-07-27
0.93199396,3.1604588,,1.127,52.653,HARRMALAYA,2024-08-03
0.93199396,3.1604588,,1.127,52.653,HARRMALAYA,2024-08-10
0.8490692,2.8899286,,1.014,76.234,HARRMALAYA,2024-08-17
0.89954466,3.0219884,,1.083,81.449,HARRMALAYA,2024-08-24
0.85151774,2.8982627,,1.047,78.714,HARRMALAYA,2024-09-01
0.90636444,3.0849411,,1.102,82.841,HARRMALAYA,2024-09-08
0.8769822,2.9849348,,1.072,80.63,HARRMALAYA,2024-09-15
0.8660581,2.947753,,1.061,79.808,HARRMALAYA,2024-09-21
0.9070425,3.087249,,1.102,82.892,HARRMALAYA,2024-09-28
0.94587904,3.2123854,,1.139,85.659,HARRMALAYA,2024-10-05
1.0505984,3.5361238,,1.234,92.816,HARRMALAYA,2024-10-12
1.1300832,3.8464003,,1.326,99.675,HARRMALAYA,2024-10-19
