priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
8.148862,3.582786,68.22222,7.571,49.005,HLVLTD,2024-07-07
7.6985416,3.3493798,63.77777,7.051,45.641,HLVLTD,2024-07-13
7.4104614,3.2589352,62.055553,6.85,44.337,HLVLTD,2024-07-20
7.2747073,3.2049599,61.027775,6.73,43.559,HLVLTD,2024-07-27
7.148876,3.148067,59.944443,6.603,42.738,HLVLTD,2024-08-03
7.046233,3.0824215,58.69444,6.457,41.792,HLVLTD,2024-08-10
6.373431,2.8125458,55.085716,7.317,52.34,HLVLTD,2024-08-17
7.3519244,3.244347,63.54286,8.625,61.695,HLVLTD,2024-08-24
6.9519258,3.0649161,60.028572,8.126,58.121,HLVLTD,2024-09-01
6.766809,2.9846826,58.45714,7.902,56.524,HLVLTD,2024-09-08
6.558548,2.8913202,56.62857,7.642,54.664,HLVLTD,2024-09-15
6.2014146,2.7337708,53.54286,7.204,51.527,HLVLTD,2024-09-21
5.8279862,2.5616338,50.17143,6.724,48.098,HLVLTD,2024-09-28
5.5635266,2.4507658,48.0,6.416,45.891,HLVLTD,2024-10-05
5.9502983,2.6258206,51.428574,6.903,49.377,HLVLTD,2024-10-12
6.244508,2.7556527,53.971428,7.265,51.962,HLVLTD,2024-10-19
