quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-07-07
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-07-13
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-07-20
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-07-27
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-08-03
14.273,14.523,70.07,0.056399997,0.94457,,0.44682997,0.01345,0.0336,IFCI,2024-08-10
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-08-17
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-08-24
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-09-01
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-09-08
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-09-15
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-09-21
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-09-28
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-10-05
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-10-12
,,60.373,0.06775,0.95325994,,0.1432,,,IFCI,2024-10-19
