quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-07-07
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-07-13
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-07-20
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-07-27
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-08-03
0.296,0.996,46.76,-0.04447,0.43268,0.01937,-0.016180001,-0.00714,-0.03968,INDIACEM,2024-08-10
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-08-17
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-08-24
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-09-01
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-09-08
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-09-15
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-09-21
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-09-28
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-10-05
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-10-12
,,46.76,-0.01733,0.44280997,0.014630001,-0.07901,,,INDIACEM,2024-10-19
