priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.5721473,2.6323311,27.626667,1.858,14.942,INDIANHUME,2024-07-07
1.6368315,2.740949,28.744171,1.952,15.866,INDIANHUME,2024-07-13
1.5808734,2.6450205,27.775185,1.895,15.4,INDIANHUME,2024-07-20
1.9532335,3.2707787,32.56483,2.269,18.437,INDIANHUME,2024-07-27
1.9532335,3.2707787,34.36916,2.269,18.437,INDIANHUME,2024-07-27
1.99819,3.3460605,35.08994,2.314,18.803,INDIANHUME,2024-08-03
2.0061564,3.2793553,,2.325,18.898,INDIANHUME,2024-08-10
1.908995,3.2361555,,2.195,15.461,INDIANHUME,2024-08-17
1.9918156,3.3765543,,2.303,16.221,INDIANHUME,2024-08-24
2.01636,3.413083,,2.325,16.373,INDIANHUME,2024-09-01
2.068075,3.5042467,,2.379,16.752,INDIANHUME,2024-09-08
2.0911238,3.5442703,,2.402,16.918,INDIANHUME,2024-09-15
1.9276173,3.2612493,,2.235,15.742,INDIANHUME,2024-09-21
1.8469732,3.1310155,,2.159,15.201,INDIANHUME,2024-09-28
1.7879497,3.0309577,,2.1,14.786,INDIANHUME,2024-10-05
1.768275,2.997605,,2.08,14.647,INDIANHUME,2024-10-12
1.7570325,2.9785464,,2.069,14.568,INDIANHUME,2024-10-19
