quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-07-07
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-07-13
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-07-20
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-07-27
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-08-03
17.788,18.04,148.68,0.44729,0.99817,,0.60785,0.04908,0.13992,INDIASHLTR,2024-08-10
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-08-17
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-08-24
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-09-01
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-09-08
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-09-15
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-09-21
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-09-28
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-10-05
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-10-12
,,148.68,0.46158,0.99836,,0.60905,,,INDIASHLTR,2024-10-19
