quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.069,1.164,2568.583,0.11861,0.32748002,0.24723,0.13215,0.093789995,,INDIGO,2024-07-07
1.069,1.164,2568.583,0.11861,0.32748002,0.24723,0.13215,0.093789995,,INDIGO,2024-07-13
1.069,1.164,2568.583,0.11861,0.32748002,0.24723,0.13215,0.093789995,,INDIGO,2024-07-20
1.069,1.164,2568.583,0.11861,0.32748002,0.24723,0.13215,0.093789995,,INDIGO,2024-07-27
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-08-03
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-08-10
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-08-17
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-08-24
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-09-01
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-09-08
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-09-15
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-09-21
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-09-28
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-10-05
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-10-12
,,2568.583,0.1088,0.32415,0.25733998,0.17071,,,INDIGO,2024-10-19
