quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
3.51,3.842,8.28,0.06097,0.26859,0.13959,0.110690005,0.03329,0.07921,INFOBEAN,2024-07-07
3.51,3.842,8.28,0.06097,0.26859,0.13959,0.110690005,0.03329,0.07921,INFOBEAN,2024-07-13
3.51,3.842,8.28,0.06097,0.26859,0.13959,0.110690005,0.03329,0.07921,INFOBEAN,2024-07-20
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-07-27
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-08-03
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-08-10
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-08-17
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-08-24
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-09-01
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-09-08
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-09-15
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-09-21
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-09-28
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-10-05
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-10-12
,,8.28,0.07157,0.27693,0.13430999,0.0921,,,INFOBEAN,2024-10-19
