priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.1115649,3.8682232,51.258167,2.844,20.373,INFOBEAN,2024-07-07
3.0431247,3.7831397,50.240177,2.775,19.884,INFOBEAN,2024-07-13
2.8963244,3.6006413,47.608696,2.629,18.834,INFOBEAN,2024-07-20
2.8711057,3.600943,40.178738,2.562,19.072,INFOBEAN,2024-07-27
2.8570833,3.600943,40.178738,2.562,19.072,INFOBEAN,2024-07-27
2.8062444,3.5368676,39.355576,2.511,18.695,INFOBEAN,2024-08-03
2.7110872,3.3988597,37.889194,2.402,17.882,INFOBEAN,2024-08-10
2.697071,3.3992703,37.893772,2.359,17.56,INFOBEAN,2024-08-17
2.9408374,3.706503,41.318684,2.645,19.694,INFOBEAN,2024-08-24
3.0183992,3.8042586,42.369625,2.723,20.27,INFOBEAN,2024-09-01
2.8746812,3.6231227,40.315357,2.579,19.203,INFOBEAN,2024-09-08
2.8851097,3.6362665,40.498627,2.59,19.281,INFOBEAN,2024-09-15
2.7661598,3.486347,38.864468,2.471,18.397,INFOBEAN,2024-09-21
2.8186283,3.552476,39.529255,2.523,18.787,INFOBEAN,2024-09-28
2.7205353,3.4288435,38.153564,2.426,18.059,INFOBEAN,2024-10-05
2.697399,3.3787334,37.595978,2.386,17.764,INFOBEAN,2024-10-12
2.6618755,3.3101404,36.900185,2.332,17.36,INFOBEAN,2024-10-19
