quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,,0.21934,,,0.26709,0.00801,0.10167,IOB,2024-07-07
,,,0.21934,,,0.26709,0.00801,0.10167,IOB,2024-07-13
,,,0.21934,,,0.26709,0.00801,0.10167,IOB,2024-07-20
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-07-27
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-08-03
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-08-10
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-08-17
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-08-24
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-09-01
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-09-08
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-09-15
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-09-21
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-09-28
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-10-05
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-10-12
,,,0.22639,,,0.29516,0.00825,0.10717,IOB,2024-10-19
