priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.9109038,0.84031844,50.009186,1.092,-3542.797,JINDALPOLY,2024-07-07
0.87694055,0.80780256,48.074097,1.057,-3428.396,JINDALPOLY,2024-07-13
0.85552394,0.78778887,46.94053,1.035,-3357.982,JINDALPOLY,2024-07-20
0.8981329,0.82159096,49.500935,1.072,-3476.908,JINDALPOLY,2024-07-27
0.8911605,0.82159096,48.775196,1.072,-3476.908,JINDALPOLY,2024-07-27
0.9154212,0.8444858,50.257195,1.097,-3557.459,JINDALPOLY,2024-08-03
0.8843568,0.8158286,48.551743,1.065,-3456.634,JINDALPOLY,2024-08-10
0.9927758,0.9152798,27.47066,1.017,-3298.972,JINDALPOLY,2024-08-17
0.95355904,0.96961004,29.155321,1.117,177.467,JINDALPOLY,2024-08-24
0.8110255,0.82462645,24.749846,0.975,154.825,JINDALPOLY,2024-09-01
0.8186158,0.8299257,24.939703,0.98,155.652,JINDALPOLY,2024-09-08
0.8158834,0.82930833,24.875,0.98,155.556,JINDALPOLY,2024-09-15
0.8002207,0.812896,24.435507,0.963,152.993,JINDALPOLY,2024-09-21
0.7197484,0.7316064,21.978363,0.883,140.297,JINDALPOLY,2024-09-28
0.7549135,0.7676208,23.038912,0.919,145.922,JINDALPOLY,2024-10-05
0.8273184,0.8412445,25.25641,0.991,157.42,JINDALPOLY,2024-10-12
0.7989333,0.81238157,24.382334,0.963,152.912,JINDALPOLY,2024-10-19
