priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.7989363,0.48575053,31.893936,1.092,8.564,JISLDVREQS,2024-07-07
0.82513237,0.4895581,32.14394,1.095,8.591,JISLDVREQS,2024-07-13
0.77229416,0.4764048,31.280302,1.084,8.499,JISLDVREQS,2024-07-20
0.81190425,0.4815969,31.149254,1.088,8.535,JISLDVREQS,2024-07-27
0.8272292,0.4815969,31.621212,1.088,8.535,JISLDVREQS,2024-07-27
0.8003098,0.4896764,40.416668,1.139,9.261,JISLDVREQS,2024-08-03
0.7702367,0.46645463,38.5,1.117,9.087,JISLDVREQS,2024-08-10
0.76262105,0.45926094,37.90625,1.11,9.031,JISLDVREQS,2024-08-17
0.7617769,0.5060831,41.770832,1.154,9.383,JISLDVREQS,2024-08-24
0.8076576,0.5117623,42.239582,1.159,9.426,JISLDVREQS,2024-09-01
0.785356,0.4843758,39.979168,1.134,9.221,JISLDVREQS,2024-09-08
0.7884449,0.48336613,39.895832,1.133,9.213,JISLDVREQS,2024-09-15
0.7556539,0.45496994,37.552082,1.107,9.001,JISLDVREQS,2024-09-21
0.74730223,0.43667018,36.041664,1.09,8.865,JISLDVREQS,2024-09-28
0.7243761,0.4172346,34.437504,1.072,8.719,JISLDVREQS,2024-10-05
0.71969813,0.42808822,35.333332,1.082,8.8,JISLDVREQS,2024-10-12
0.71311337,0.41382706,34.15625,1.069,8.694,JISLDVREQS,2024-10-19
