quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
16.002,16.419,146.777,0.15215999,0.89075994,,0.44805,0.00104,0.00275,JMFINANCIL,2024-07-07
16.002,16.419,146.777,0.15215999,0.89075994,,0.44805,0.00104,0.00275,JMFINANCIL,2024-07-13
2.166,2.69,146.777,0.15283,0.88611,,0.45543998,0.00104,0.00275,JMFINANCIL,2024-07-20
2.166,2.69,146.777,0.15283,0.88611,,0.45543998,0.00104,0.00275,JMFINANCIL,2024-07-27
2.166,2.69,146.777,0.15283,0.88611,,0.45543998,0.00104,0.00275,JMFINANCIL,2024-08-03
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-08-10
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-08-17
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-08-24
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-09-01
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-09-08
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-09-15
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-09-21
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-09-28
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-10-05
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-10-12
,,146.777,0.15003,0.8796,,0.37662,,,JMFINANCIL,2024-10-19
