quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
6.853,7.405,57.812,0.30719,0.55175996,0.51058,0.40819,0.079730004,0.18843001,JSWINFRA,2024-07-07
6.95,7.405,57.812,0.30421,0.5675,0.52049,0.42856,0.0841,0.18843001,JSWINFRA,2024-07-13
6.95,7.405,57.812,0.30421,0.5675,0.52049,0.42856,0.0841,0.18843001,JSWINFRA,2024-07-20
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-07-27
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-08-03
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-08-10
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-08-17
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-08-24
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-09-01
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-09-08
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-09-15
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-09-21
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-09-28
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-10-05
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-10-12
,,57.812,0.28888,0.56411,0.51120996,0.37638,,,JSWINFRA,2024-10-19
