quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.604,1.565,21.39,0.09099,0.2236,0.13427,0.12529999,0.12601,0.27188,JWL,2024-07-07
0.545,1.565,21.39,0.09099,0.22027999,0.13413,0.12529999,0.12601,0.27188,JWL,2024-07-13
0.545,1.565,21.39,0.09099,0.22027999,0.13413,0.12529999,0.12601,0.27188,JWL,2024-07-20
0.545,1.565,21.39,0.09099,0.22027999,0.13413,0.12529999,0.12601,0.27188,JWL,2024-07-27
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-08-03
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-08-10
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-08-17
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-08-24
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-09-01
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-09-08
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-09-15
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-09-21
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-09-28
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-10-05
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-10-12
,,21.39,0.095649995,0.22753,0.13886,0.14119,,,JWL,2024-10-19
