quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.172,1.312,107.13,0.0322,0.1463,0.06271,0.05131,0.055159997,0.15246001,KALYANKJIL,2024-07-07
0.172,1.312,107.13,0.0322,0.1463,0.06271,0.05131,0.055159997,0.15246001,KALYANKJIL,2024-07-13
0.172,1.312,107.13,0.0322,0.1463,0.06271,0.05131,0.055159997,0.15246001,KALYANKJIL,2024-07-20
0.072,1.312,107.13,0.0322,0.14345999,0.0631,0.0529,0.05554,0.15246001,KALYANKJIL,2024-07-27
0.072,1.312,107.13,0.0322,0.14345999,0.0631,0.0529,0.05554,0.15246001,KALYANKJIL,2024-08-03
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-08-10
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-08-17
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-08-24
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-09-01
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-09-08
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-09-15
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-09-21
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-09-28
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-10-05
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-10-12
,,107.13,0.03203,0.14178,0.061690003,0.0543,,,KALYANKJIL,2024-10-19
