quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.396,1.106,82.419,-0.025999999,0.32564,0.03569,0.03638,-0.00412,-0.090270005,KANORICHEM,2024-07-07
0.396,1.106,82.419,-0.025999999,0.32564,0.03569,0.03638,-0.00412,-0.090270005,KANORICHEM,2024-07-13
0.396,1.106,82.419,-0.025999999,0.32564,0.03569,0.03638,-0.00412,-0.090270005,KANORICHEM,2024-07-20
0.396,1.106,82.419,-0.025999999,0.32564,0.03569,0.03638,-0.00412,-0.090270005,KANORICHEM,2024-07-27
0.396,1.106,82.419,-0.025999999,0.32564,0.03569,0.03638,-0.00412,-0.090270005,KANORICHEM,2024-08-03
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-08-10
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-08-17
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-08-24
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-09-01
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-09-08
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-09-15
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-09-21
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-09-28
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-10-05
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-10-12
,,82.419,-0.035889998,0.32553002,0.03098,-0.03408,,,KANORICHEM,2024-10-19
