quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-07-07
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-07-13
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-07-20
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-07-27
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-08-03
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-08-10
1.551,4.419,9.356,-0.04493,0.087869994,-0.039049998,-0.08759,-0.02321,-0.0425,KIOCL,2024-08-17
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-08-24
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-09-01
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-09-08
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-09-15
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-09-21
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-09-28
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-10-05
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-10-12
,,9.356,-0.05065,0.11813,-0.03812,-0.38644,,,KIOCL,2024-10-19
