earningsGrowth,revenueGrowth,symbol,Date
11.31,0.357,KMSUGAR,2024-07-07
11.31,0.357,KMSUGAR,2024-07-13
11.31,0.357,KMSUGAR,2024-07-20
11.31,0.357,KMSUGAR,2024-07-27
11.31,0.357,KMSUGAR,2024-08-03
11.31,0.357,KMSUGAR,2024-08-10
-0.424,-0.325,KMSUGAR,2024-08-17
-0.424,-0.325,KMSUGAR,2024-08-24
-0.424,-0.325,KMSUGAR,2024-09-01
-0.424,-0.325,KMSUGAR,2024-09-08
-0.424,-0.325,KMSUGAR,2024-09-15
-0.424,-0.325,KMSUGAR,2024-09-21
-0.424,-0.325,KMSUGAR,2024-09-28
-0.424,-0.325,KMSUGAR,2024-10-05
-0.424,-0.325,KMSUGAR,2024-10-12
-0.424,-0.325,KMSUGAR,2024-10-19
