quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,,,,,,,,KOTAKMID50,2024-07-07
,,,,,,,,,KOTAKMID50,2024-07-13
,,,,,,,,,KOTAKMID50,2024-07-20
,,,,,,,,,KOTAKMID50,2024-07-27
,,,,,,,,,KOTAKMID50,2024-08-03
,,,,,,,,,KOTAKMID50,2024-08-10
,,,,,,,,,KOTAKMID50,2024-08-17
,,,,,,,,,KOTAKMID50,2024-08-24
,,,,,,,,,KOTAKMID50,2024-09-01
,,,,,,,,,KOTAKMID50,2024-09-08
,,,,,,,,,KOTAKMID50,2024-09-15
,,,,,,,,,KOTAKMID50,2024-09-21
,,,,,,,,,KOTAKMID50,2024-09-28
,,,,,,,,,KOTAKMID50,2024-10-05
,,,,,,,,,KOTAKMID50,2024-10-12
,,,,,,,,,KOTAKMID50,2024-10-19
