priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.60134846,2.4147773,18.048485,1.464,14.241,LAGNAM,2024-07-07
0.62315696,2.5023515,18.680387,1.486,14.453,LAGNAM,2024-07-13
0.5915347,2.375369,17.753939,1.454,14.145,LAGNAM,2024-07-20
0.6387065,2.5615451,19.16869,1.501,14.596,LAGNAM,2024-07-27
0.6765069,2.716584,20.27966,1.539,14.972,LAGNAM,2024-08-03
0.47523996,2.2764425,16.770609,1.19,12.607,LAGNAM,2024-08-10
0.45346275,2.1882195,16.120668,1.165,12.34,LAGNAM,2024-08-17
0.44536373,2.0805357,15.345694,1.149,12.177,LAGNAM,2024-08-24
0.4249302,2.0505335,15.106333,1.143,12.111,LAGNAM,2024-09-01
0.4143775,1.9996109,14.731183,1.132,11.999,LAGNAM,2024-09-08
0.43218938,2.0855634,15.364398,1.15,12.188,LAGNAM,2024-09-15
0.40332073,1.9462554,14.338113,1.121,11.882,LAGNAM,2024-09-21
0.38960898,1.8800882,13.850657,1.108,11.736,LAGNAM,2024-09-28
0.3901803,1.8828452,13.870968,1.108,11.742,LAGNAM,2024-10-05
0.37646848,1.808245,13.321386,1.093,11.579,LAGNAM,2024-10-12
0.37431765,1.8062989,13.322967,1.092,11.574,LAGNAM,2024-10-19
