quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-07-07
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-07-13
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-07-20
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-07-27
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-08-03
16.791,20.274,1.09,0.3498,0.67713,0.37245998,0.25208,0.07833,0.15705,LAOPALA,2024-08-10
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-08-17
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-08-24
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-09-01
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-09-08
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-09-15
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-09-21
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-09-28
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-10-05
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-10-12
,,1.09,0.34873,0.66827005,0.36556998,0.30126,,,LAOPALA,2024-10-19
