quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.371,0.572,151.048,0.1379,0.69484,0.49118,0.43363997,0.06708,0.122779995,LEMONTREE,2024-07-07
0.371,0.572,151.048,0.1379,0.69484,0.49118,0.43363997,0.06708,0.122779995,LEMONTREE,2024-07-13
0.371,0.572,151.048,0.1379,0.69484,0.49118,0.43363997,0.06708,0.122779995,LEMONTREE,2024-07-20
0.371,0.572,151.048,0.1379,0.69484,0.49118,0.43363997,0.06708,0.122779995,LEMONTREE,2024-07-27
0.371,0.572,151.048,0.1379,0.69484,0.49118,0.43363997,0.06708,0.122779995,LEMONTREE,2024-08-03
,,151.048,0.12926,0.6923,0.47661,0.30126,,,LEMONTREE,2024-08-10
,,151.048,0.12926,0.69231004,0.47662,0.30033,,,LEMONTREE,2024-08-17
,,151.048,0.12926,0.69231004,0.47662,0.30033,,,LEMONTREE,2024-08-24
,,151.048,0.12926,0.69231004,0.47662,0.30033,,,LEMONTREE,2024-09-01
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-09-08
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-09-15
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-09-21
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-09-28
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-10-05
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-10-12
,,151.048,0.12991,0.69074994,0.47901002,0.30166,,,LEMONTREE,2024-10-19
