dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
5.0,0.008,0.2174,,,LINC
5.0,0.0082,0.2174,5.0,2023-08-21,LINC
5.0,0.0083,0.2174,5.0,2023-08-21,LINC
5.0,0.0083,0.2174,5.0,2024-08-21,LINC
5.0,0.0083,0.2174,,,LINC
5.0,0.0084,0.2174,5.0,2024-08-21,LINC
5.0,0.0084,0.21100001,5.0,2024-08-21,LINC
5.0,0.0075,0.21100001,5.0,2024-08-21,LINC
5.0,0.007900001,0.21100001,5.0,2024-08-21,LINC
5.0,0.0072000003,0.21100001,5.0,2024-08-21,LINC
5.0,0.0069,0.21100001,5.0,2024-08-21,LINC
5.0,0.0077,0.21100001,5.0,2024-08-21,LINC
5.0,0.0081,0.21100001,5.0,2024-08-21,LINC
