quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-07-07
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-07-13
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-07-20
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-07-27
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-08-03
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-08-10
0.874,3.354,12.591,-0.03632,0.31346,-0.0234,0.03431,-0.01638,-0.01199,MADHAV,2024-08-17
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-08-24
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-09-01
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-09-08
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-09-15
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-09-21
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-09-28
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-10-05
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-10-12
,,12.591,-0.03829,0.31947002,-0.04172,-0.02446,,,MADHAV,2024-10-19
