quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-07-07
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-07-13
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-07-20
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-07-27
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-08-03
0.222,0.586,1929.706,0.0032600001,0.37855,0.0633,0.04716,0.04856,0.13607,MALUPAPER,2024-08-10
,,1929.706,-0.0050999997,0.36068,0.05377,-0.00661,,,MALUPAPER,2024-08-17
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-08-24
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-09-01
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-09-08
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-09-15
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-09-21
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-09-28
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-10-05
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-10-12
,,1929.706,-0.0050999997,0.36073002,0.05376,-0.0066299997,,,MALUPAPER,2024-10-19
