priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.5718504,1.2921251,13.725174,0.586,10.66,MANAKSTEEL,2024-07-07
0.5368511,1.2058095,12.808314,0.548,9.967,MANAKSTEEL,2024-07-13
0.53586346,1.2077662,12.8291,0.549,9.983,MANAKSTEEL,2024-07-20
0.55404925,1.2519025,13.297922,0.568,10.337,MANAKSTEEL,2024-07-27
0.5388468,1.2142888,12.898383,0.552,10.035,MANAKSTEEL,2024-08-03
0.57406354,1.2971257,13.778291,0.588,10.7,MANAKSTEEL,2024-08-10
0.55024934,1.1399313,17.30363,,,MANAKSTEEL,2024-08-17
0.5717344,1.1912423,18.082508,0.586,13.706,MANAKSTEEL,2024-08-24
0.5820656,1.211245,18.386139,0.595,13.929,MANAKSTEEL,2024-09-01
0.5610912,1.1644998,17.676569,0.573,13.407,MANAKSTEEL,2024-09-08
0.60053575,1.2338566,18.729374,0.606,14.182,MANAKSTEEL,2024-09-15
0.7077218,1.4732357,22.363037,0.721,16.855,MANAKSTEEL,2024-09-21
0.69591117,1.4499718,22.009903,0.709,16.595,MANAKSTEEL,2024-09-28
0.69998074,1.4584512,22.138615,0.713,16.69,MANAKSTEEL,2024-10-05
0.70947707,1.4728007,22.356436,0.72,16.85,MANAKSTEEL,2024-10-12
0.72293776,1.5062834,22.864687,0.736,17.224,MANAKSTEEL,2024-10-19
