priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
5.730118,4.941841,24.224844,5.345,20.693,MANINFRA,2024-07-07
5.7474546,4.9567933,24.26799,5.363,20.76,MANINFRA,2024-07-13
5.686924,4.909815,24.042234,5.255,20.344,MANINFRA,2024-07-20
6.256674,5.40171,26.385378,5.825,22.55,MANINFRA,2024-07-27
5.750981,4.9651184,24.282877,5.319,20.592,MANINFRA,2024-08-03
6.373608,4.770796,22.414778,5.876,21.381,MANINFRA,2024-08-10
6.4268184,4.8106246,22.628878,5.758,20.953,MANINFRA,2024-08-17
6.8003106,5.0473127,23.742245,6.245,22.726,MANINFRA,2024-08-24
6.6833754,5.0026636,23.532219,6.185,22.509,MANINFRA,2024-09-01
6.536493,4.880388,22.929678,6.022,21.914,MANINFRA,2024-09-08
6.489944,4.845633,22.766386,5.976,21.745,MANINFRA,2024-09-15
6.4834895,4.840813,22.79809,5.969,21.722,MANINFRA,2024-09-21
6.7491884,5.0391946,23.704058,6.234,22.686,MANINFRA,2024-09-28
6.4631023,4.825592,22.672228,5.949,21.648,MANINFRA,2024-10-05
6.4100957,4.784241,22.53166,5.894,21.447,MANINFRA,2024-10-12
6.4114575,4.7870317,22.517899,5.897,21.46,MANINFRA,2024-10-19
