priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.5747441,2.592753,25.788889,1.052,12.645,MANOMAY,2024-07-07
0.60545003,2.7312715,27.166668,1.083,13.013,MANOMAY,2024-07-13
0.71564436,3.228374,32.15577,1.193,14.334,MANOMAY,2024-07-20
0.7720416,3.48279,34.59362,1.249,15.01,MANOMAY,2024-07-27
0.89873576,4.050129,40.340748,1.375,16.519,MANOMAY,2024-08-03
0.92334217,4.1653285,41.488174,1.4,16.825,MANOMAY,2024-08-10
0.9118233,4.219088,34.729885,1.368,14.61,MANOMAY,2024-08-17
0.9059387,4.1918597,34.466133,1.373,14.665,MANOMAY,2024-08-24
0.79201734,3.6647353,30.201384,1.259,13.448,MANOMAY,2024-09-01
0.7571621,3.4441109,28.318024,1.211,12.938,MANOMAY,2024-09-08
0.67538273,3.1208546,25.71922,1.141,12.192,MANOMAY,2024-09-15
0.7096318,3.28353,27.05984,1.176,12.567,MANOMAY,2024-09-21
0.6857914,3.1054947,25.56322,1.138,12.156,MANOMAY,2024-09-28
0.6638219,3.0715632,25.254879,1.131,12.078,MANOMAY,2024-10-05
0.65823895,3.0457306,25.071264,1.125,12.018,MANOMAY,2024-10-12
0.64049834,2.9474273,24.26207,1.104,11.791,MANOMAY,2024-10-19
