quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.251,1.366,15.449,0.19564,0.62025,0.27021998,0.21872,0.07053,0.13373,MAXHEALTH,2024-07-07
1.251,1.366,15.449,0.19564,0.62025,0.27021998,0.21872,0.07053,0.13373,MAXHEALTH,2024-07-13
1.251,1.366,15.449,0.19564,0.62025,0.27021998,0.21872,0.07053,0.13373,MAXHEALTH,2024-07-20
1.251,1.366,15.449,0.19564,0.62025,0.27021998,0.21872,0.07053,0.13373,MAXHEALTH,2024-07-27
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-08-03
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-08-10
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-08-17
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-08-24
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-09-01
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-09-08
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-09-15
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-09-21
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-09-28
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-10-05
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-10-12
,,15.449,0.18606001,0.62081003,0.26369,0.20124,,,MAXHEALTH,2024-10-19
