priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.5847192,3.322201,23.477404,3.336,16.864,MAYURUNIQ,2024-07-07
3.4341931,3.1844,22.535921,3.187,16.112,MAYURUNIQ,2024-07-13
3.2188044,2.981124,21.097342,2.967,15.002,MAYURUNIQ,2024-07-20
3.4963193,3.2420073,22.935368,3.249,16.426,MAYURUNIQ,2024-07-27
3.4103844,3.1607985,22.368893,3.161,15.983,MAYURUNIQ,2024-08-03
3.6271408,3.3633132,22.523794,3.19,16.128,MAYURUNIQ,2024-08-10
3.54085,3.3333673,22.32325,3.225,15.529,MAYURUNIQ,2024-08-17
3.6052809,3.3584912,22.46859,3.321,15.994,MAYURUNIQ,2024-08-24
3.3179145,3.1232393,20.923155,3.071,14.79,MAYURUNIQ,2024-09-01
3.4014828,3.2016566,21.455782,3.155,15.191,MAYURUNIQ,2024-09-08
3.2519214,3.096339,20.75,3.043,14.652,MAYURUNIQ,2024-09-15
3.3132153,3.1549616,21.142857,3.105,14.952,MAYURUNIQ,2024-09-21
3.2055497,3.0514205,20.44898,2.995,14.422,MAYURUNIQ,2024-09-28
3.1317239,2.982139,19.95754,2.921,14.068,MAYURUNIQ,2024-10-05
3.24419,3.0892334,20.702381,3.035,14.616,MAYURUNIQ,2024-10-12
3.3142812,3.1559768,21.142467,3.106,14.957,MAYURUNIQ,2024-10-19
