quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.563,1.376,82.604,0.03041,0.31783,0.13161999,0.047259998,0.06343,0.07315,MBAPL,2024-07-07
0.563,1.376,82.604,0.03041,0.31783,0.13161999,0.047259998,0.06343,0.07315,MBAPL,2024-07-13
0.563,1.376,82.604,0.03041,0.31783,0.13161999,0.047259998,0.06343,0.07315,MBAPL,2024-07-20
0.563,1.376,82.604,0.03041,0.31783,0.13161999,0.047259998,0.06343,0.07315,MBAPL,2024-07-27
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-08-03
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-08-10
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-08-17
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-08-24
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-09-01
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-09-08
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-09-15
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-09-21
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-09-28
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-10-05
,,82.604,0.03351,0.32226002,0.1358,0.13347,,,MBAPL,2024-10-12
0.78,1.41,61.26,0.03225,0.32909,0.13179,0.105670005,0.06469,0.07775,MBAPL,2024-10-19
