quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-07-07
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-07-13
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-07-20
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-07-27
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-08-03
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-08-10
0.271,0.39,145.677,-0.3213,0.85295,-0.64652,-1.39809,-0.03041,-0.05132,MBLINFRA,2024-08-17
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-08-24
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-09-01
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-09-08
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-09-15
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-09-21
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-09-28
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-10-05
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-10-12
,,145.677,1.72471,0.92496,-0.79085,-1.24622,,,MBLINFRA,2024-10-19
