priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.490838,5.8434005,51.831577,2.5,22.602,MINDACORP,2024-07-07
2.4427817,5.7306623,50.831577,2.452,22.168,MINDACORP,2024-07-13
2.3972545,5.623858,49.989452,2.406,21.756,MINDACORP,2024-07-20
2.4514022,5.7704215,51.01053,2.47,23.969,MINDACORP,2024-07-27
2.6453998,6.227078,55.221752,2.664,25.851,MINDACORP,2024-08-03
2.6312294,6.080019,49.52473,2.65,25.714,MINDACORP,2024-08-10
2.552876,6.161586,50.237865,2.538,24.461,MINDACORP,2024-08-17
3.113823,7.51548,61.33625,3.132,30.18,MINDACORP,2024-08-24
2.8020213,6.7629194,55.24806,2.82,27.175,MINDACORP,2024-09-01
2.7142038,6.5509644,53.46453,2.732,26.329,MINDACORP,2024-09-08
2.682382,6.47416,52.889107,2.701,26.023,MINDACORP,2024-09-15
2.7608259,6.663491,54.330093,2.779,26.779,MINDACORP,2024-09-21
2.9761765,7.1832576,58.45446,2.994,28.854,MINDACORP,2024-09-28
2.9431214,7.1034765,58.143272,2.961,28.535,MINDACORP,2024-10-05
2.8671477,6.8045964,55.5345,2.837,27.342,MINDACORP,2024-10-12
2.6468604,6.3884254,52.08738,2.665,25.68,MINDACORP,2024-10-19
