quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-07-07
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-07-13
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-07-20
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-07-27
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-08-03
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-08-10
1.24,1.543,110.17,0.041220002,0.33830002,0.2223,0.13732,0.047020003,0.04619,MITCON,2024-08-17
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-08-24
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-09-01
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-09-08
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-09-15
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-09-21
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-09-28
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-10-05
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-10-12
,,110.17,0.05209,0.35249,0.23451,0.22278999,,,MITCON,2024-10-19
