priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.713591,6.193368,27.255913,4.444,17.024,MOLDTECH,2024-07-07
4.775793,6.27277,27.633745,4.504,17.254,MOLDTECH,2024-07-13
4.5669904,5.9936943,26.377184,4.293,16.445,MOLDTECH,2024-07-20
4.7260447,6.210883,27.38929,4.458,17.074,MOLDTECH,2024-07-27
4.731372,6.210883,27.38929,4.458,17.074,MOLDTECH,2024-07-27
4.4470487,5.8442316,25.7724,4.18,16.011,MOLDTECH,2024-08-03
3.8514187,5.134283,23.538544,3.614,14.256,MOLDTECH,2024-08-10
3.7604918,5.0163474,22.997858,3.447,13.596,MOLDTECH,2024-08-17
3.9371111,5.204344,23.859743,3.667,14.463,MOLDTECH,2024-08-24
4.1049843,5.482251,25.133833,3.875,15.286,MOLDTECH,2024-09-01
4.0682545,5.431107,24.872726,3.837,15.135,MOLDTECH,2024-09-08
4.0964155,5.470808,25.054544,3.867,15.252,MOLDTECH,2024-09-15
3.9638603,5.2886505,24.272242,3.73,14.713,MOLDTECH,2024-09-21
4.086624,5.450023,25.012861,3.851,15.191,MOLDTECH,2024-09-28
4.0193,5.3640823,24.565775,3.787,14.936,MOLDTECH,2024-10-05
4.055144,5.381364,24.697748,3.8,14.987,MOLDTECH,2024-10-12
3.9117515,5.159505,23.628876,3.633,14.331,MOLDTECH,2024-10-19
