priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
,,34.810123,,,MOMENTUM,2024-07-07
,,34.762745,,,MOMENTUM,2024-07-13
,,33.597355,,,MOMENTUM,2024-07-20
,,34.497456,,,MOMENTUM,2024-07-27
,,34.563778,,,MOMENTUM,2024-08-03
,,34.24164,,,MOMENTUM,2024-08-10
,,34.260586,,,MOMENTUM,2024-08-17
,,34.980663,,,MOMENTUM,2024-08-24
,,35.539673,,,MOMENTUM,2024-09-01
,,34.6301,,,MOMENTUM,2024-09-08
,,34.999615,,,MOMENTUM,2024-09-15
,,34.99014,,,MOMENTUM,2024-09-21
,,36.430298,,,MOMENTUM,2024-09-28
,,35.501778,,,MOMENTUM,2024-10-05
,,35.842865,,,MOMENTUM,2024-10-12
,,35.160686,,,MOMENTUM,2024-10-19
