priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.760747,2.0001144,11.287098,0.756,9.888,MUKKA,2024-07-07
0.855467,2.245913,12.674194,0.826,10.811,MUKKA,2024-07-13
1.0568693,2.771236,15.63871,0.977,12.784,MUKKA,2024-07-20
1.1699303,2.9593005,16.7,1.031,13.49,MUKKA,2024-07-27
1.096441,2.8827028,16.267742,1.009,13.203,MUKKA,2024-08-03
1.0875268,2.859266,16.135485,1.002,13.115,MUKKA,2024-08-10
0.99903756,2.626615,14.727565,0.934,12.221,MUKKA,2024-08-17
1.1534777,2.808963,15.75,1.357,16.791,MUKKA,2024-08-24
1.0924487,2.6557677,14.891026,1.293,16.007,MUKKA,2024-09-01
1.0680351,2.6003203,14.58013,1.271,15.724,MUKKA,2024-09-08
1.056533,2.5728822,14.426282,1.259,15.584,MUKKA,2024-09-15
1.0072391,2.452841,13.753205,1.21,14.97,MUKKA,2024-09-21
0.98094904,2.3888192,13.394232,1.183,14.642,MUKKA,2024-09-28
0.93799263,2.2836401,12.804488,1.14,14.105,MUKKA,2024-10-05
1.0478479,2.4694183,13.846154,1.216,15.054,MUKKA,2024-10-12
0.9833293,2.387104,13.384615,1.182,14.634,MUKKA,2024-10-19
