priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.48481312,2.2658505,23.651949,0.538,8.408,MUNJALAU,2024-07-07
0.46843874,2.1919477,22.88052,0.522,8.162,MUNJALAU,2024-07-13
0.4525015,2.1187918,22.116884,0.506,7.918,MUNJALAU,2024-07-20
0.49071035,2.2977006,22.09091,0.545,8.515,MUNJALAU,2024-07-27
0.57865983,2.7095153,28.283117,0.632,9.888,MUNJALAU,2024-08-03
0.5391207,2.452971,24.461538,0.597,9.34,MUNJALAU,2024-08-10
0.52684456,2.4686472,24.617865,0.584,8.27,MUNJALAU,2024-08-17
0.5719299,2.6799045,26.724564,0.627,8.874,MUNJALAU,2024-08-24
0.56396425,2.6425798,26.41791,0.619,8.762,MUNJALAU,2024-09-01
0.69593024,3.2606747,32.435642,0.751,10.63,MUNJALAU,2024-09-08
0.7046888,3.3009856,32.918114,0.759,10.752,MUNJALAU,2024-09-15
0.6351236,2.9760127,29.677418,0.69,9.77,MUNJALAU,2024-09-21
0.63082224,2.9558575,29.476425,0.686,9.709,MUNJALAU,2024-09-28
0.66066664,3.0957003,30.870968,0.716,10.131,MUNJALAU,2024-10-05
0.6898739,3.232557,32.235733,0.745,10.545,MUNJALAU,2024-10-12
0.7617236,3.5692248,35.593052,0.817,11.563,MUNJALAU,2024-10-19
