dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
4.5,0.028299998,0.5852,,,MUNJALSHOW
4.5,0.028199999,0.5852,4.5,2024-08-02,MUNJALSHOW
4.5,0.028900001,0.5852,4.5,2024-08-02,MUNJALSHOW
4.5,0.028099999,0.5852,4.5,2024-08-02,MUNJALSHOW
4.5,0.0254,0.5852,4.5,2024-08-02,MUNJALSHOW
4.5,0.0254,0.5852,,,MUNJALSHOW
4.5,0.026700001,0.5852,4.5,2024-08-02,MUNJALSHOW
4.5,0.027999999,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.0275,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.025899999,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.0248,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.025799999,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.0272,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.026500002,0.6016,4.5,2024-08-02,MUNJALSHOW
4.5,0.027999999,0.6016,,,MUNJALSHOW
4.5,0.0274,0.6016,4.5,2024-08-02,MUNJALSHOW
