quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.26,1.383,30.18,0.028110001,0.42223,0.16147,0.08289,0.020750001,0.01456,MURUDCERA,2024-07-07
0.26,1.383,30.18,0.028110001,0.42223,0.16147,0.08289,0.020750001,0.01456,MURUDCERA,2024-07-13
0.26,1.383,30.18,0.028110001,0.42223,0.16147,0.08289,0.020750001,0.01456,MURUDCERA,2024-07-20
0.26,1.383,30.18,0.028110001,0.42223,0.16147,0.08289,0.020750001,0.01456,MURUDCERA,2024-07-27
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-08-03
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-08-10
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-08-17
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-08-24
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-09-01
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-09-08
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-09-15
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-09-21
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-09-28
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-10-05
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-10-12
,,30.18,0.03185,0.41827,0.1591,0.11099,,,MURUDCERA,2024-10-19
