dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
1.5,0.0046,0.2134,,,NAHARCAP
1.5,0.0047,0.2134,1.5,2023-09-08,NAHARCAP
1.5,0.0047999998,0.2134,1.5,2023-09-08,NAHARCAP
1.5,0.0046,0.2134,1.5,2023-09-08,NAHARCAP
1.5,0.0049,0.098000005,1.5,2024-09-06,NAHARCAP
1.5,0.0046,0.098000005,1.5,2024-09-06,NAHARCAP
1.5,0.0042,0.098000005,1.5,2024-09-06,NAHARCAP
1.5,0.0045,0.098000005,1.5,2024-09-06,NAHARCAP
1.5,0.0047999998,0.098000005,1.5,2024-09-06,NAHARCAP
1.5,0.0047,0.098000005,,,NAHARCAP
1.5,0.0049,0.098000005,,,NAHARCAP
1.5,0.005,0.098000005,,,NAHARCAP
