dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
1.5,0.005,0.6494,,,NAHARPOLY
1.5,0.0049,0.6494,1.5,2023-09-08,NAHARPOLY
1.5,0.0056,0.6494,1.5,2023-09-08,NAHARPOLY
1.5,0.0049,0.6494,,,NAHARPOLY
1.5,0.0045,0.6494,1.5,2023-09-08,NAHARPOLY
1.0,0.0032,0.22690001,1.0,2024-09-06,NAHARPOLY
1.0,0.0029,0.22690001,,,NAHARPOLY
1.0,0.0038,0.22690001,1.0,2024-09-06,NAHARPOLY
1.0,0.0036000002,0.22690001,,,NAHARPOLY
1.0,0.0039,0.22690001,1.0,2024-09-06,NAHARPOLY
1.0,0.004,0.22690001,1.0,2024-09-06,NAHARPOLY
1.0,0.004,0.22690001,,,NAHARPOLY
1.0,0.0041,0.22690001,1.0,2024-09-06,NAHARPOLY
1.0,0.0039,0.22690001,,,NAHARPOLY
1.0,0.0041,0.22690001,,,NAHARPOLY
