priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.36235082,0.3523689,,0.545,17.924,NAHARSPING,2024-07-07
0.36005673,0.35013798,,0.544,17.889,NAHARSPING,2024-07-13
0.34993947,0.33984149,,0.539,17.725,NAHARSPING,2024-07-20
0.3910566,0.37833893,,0.558,18.337,NAHARSPING,2024-07-27
0.38905656,0.37833893,,0.558,18.337,NAHARSPING,2024-07-27
0.41599753,0.4044234,,0.57,18.751,NAHARSPING,2024-08-03
0.39905685,0.3758792,,0.557,18.298,NAHARSPING,2024-08-10
0.3652613,0.363123,,0.729,16.943,NAHARSPING,2024-08-17
0.37601307,0.84965545,,0.734,17.045,NAHARSPING,2024-08-24
0.39711323,0.91955036,,0.764,17.746,NAHARSPING,2024-09-01
0.3711833,0.8551139,,0.736,17.1,NAHARSPING,2024-09-08
0.35784453,0.826224,,0.723,16.809,NAHARSPING,2024-09-15
0.34429097,0.7956034,,0.71,16.502,NAHARSPING,2024-09-21
0.34824315,0.8018607,,0.713,16.565,NAHARSPING,2024-09-28
0.3321451,0.7655153,,0.697,16.2,NAHARSPING,2024-10-05
0.3255328,0.7537996,,0.692,16.082,NAHARSPING,2024-10-12
0.31344977,0.7226465,,0.679,15.77,NAHARSPING,2024-10-19
