quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-07-07
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-07-13
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-07-20
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-07-27
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-08-03
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-08-10
0.828,1.168,0.026,0.03888,0.085889995,0.0497,0.06143,0.02475,0.18268,NBCC,2024-08-17
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-08-24
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-09-01
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-09-08
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-09-15
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-09-21
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-09-28
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-10-05
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-10-12
,,0.026,0.040949997,0.086490005,0.05204,0.04257,,,NBCC,2024-10-19
