quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-07-07
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-07-13
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-07-20
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-07-27
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-08-03
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-08-10
1.791,2.968,,0.60758996,1.0,0.82603997,0.86585,0.00274,0.0033500001,NBIFIN,2024-08-17
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-08-24
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-09-01
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-09-08
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-09-15
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-09-21
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-09-28
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-10-05
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-10-12
,,,0.49424,1.0,0.68878996,-0.87627,,,NBIFIN,2024-10-19
