priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.8396648,1.4467793,35.0,1.082,17.467,NECCLTD,2024-07-07
0.7876686,1.3542641,32.761906,1.028,16.603,NECCLTD,2024-07-13
1.0295894,1.7700902,42.82143,1.269,20.489,NECCLTD,2024-07-20
1.1561042,1.9004971,45.976192,1.344,21.708,NECCLTD,2024-07-27
1.0630047,1.827666,44.214287,1.332,21.501,NECCLTD,2024-08-03
0.9998758,1.6554304,36.565216,1.238,17.068,NECCLTD,2024-08-10
1.0449804,1.7671375,39.032608,1.312,18.09,NECCLTD,2024-08-17
1.0286843,1.7395798,38.423912,1.288,17.761,NECCLTD,2024-08-24
1.0296773,1.6637962,36.75,1.243,17.137,NECCLTD,2024-09-01
0.993316,1.6121254,35.608692,1.212,16.712,NECCLTD,2024-09-08
0.9818015,1.5914571,35.152172,1.2,16.541,NECCLTD,2024-09-15
0.96608037,1.5614389,34.48913,1.182,16.294,NECCLTD,2024-09-21
0.9339235,1.5137051,33.434784,1.153,15.901,NECCLTD,2024-09-28
0.9421052,1.5299444,33.793476,1.163,16.035,NECCLTD,2024-10-05
0.9145262,1.4595739,32.23913,1.121,15.455,NECCLTD,2024-10-12
0.9256579,1.4861474,32.826088,1.137,15.674,NECCLTD,2024-10-19
