dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
2.2,0.0023999999,0.1929,,,NELCO
2.2,0.0023999999,0.1929,2.2,2024-06-10,NELCO
2.2,0.0028,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0027,0.22309999,,,NELCO
2.2,0.0026,0.22309999,,,NELCO
2.2,0.0025,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0025,0.22309999,,,NELCO
2.2,0.0026,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0019,0.22309999,,,NELCO
2.2,0.0018000001,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0018000001,0.22309999,,,NELCO
2.2,0.002,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0021,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0023,0.22309999,2.2,2024-06-10,NELCO
2.2,0.0022,0.22309999,,,NELCO
2.2,0.0023,0.22309999,,,NELCO
