quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.286,0.883,10.313,0.16383,0.55682,0.23349,0.23344,,,NESTLEIND,2024-07-07
0.286,0.883,10.313,0.16383,0.55682,0.23349,0.23344,,,NESTLEIND,2024-07-13
0.286,0.883,10.313,0.16383,0.55682,0.23349,0.23344,,,NESTLEIND,2024-07-20
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-07-27
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-08-03
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-08-10
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-08-17
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-08-24
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-09-01
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-09-08
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-09-15
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-09-21
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-09-28
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-10-05
,,10.319,0.16499001,0.56369,0.23242001,0.20557,,,NESTLEIND,2024-10-12
0.148,0.755,9.475,0.16399,0.56404996,0.22997,0.20496,,,NESTLEIND,2024-10-19
