priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.9646969,1.328423,,3.3,-46.189,NETWORK18,2024-07-07
0.9337301,1.2857808,,3.269,-45.762,NETWORK18,2024-07-13
0.90383947,1.2237556,,3.276,-39.37,NETWORK18,2024-07-20
1.0470836,1.4202201,,3.419,-41.09,NETWORK18,2024-07-27
1.0664043,1.4464258,,3.438,-41.319,NETWORK18,2024-08-03
1.1423147,1.5493876,,3.513,-42.221,NETWORK18,2024-08-10
1.0861822,1.4732517,,3.445,-41.397,NETWORK18,2024-08-17
1.1420821,1.5203909,,3.492,-41.967,NETWORK18,2024-08-24
1.0880114,1.4755777,,3.46,-41.574,NETWORK18,2024-09-01
1.0258228,1.3907584,,3.398,-40.832,NETWORK18,2024-09-08
1.0139302,1.375252,,3.387,-40.696,NETWORK18,2024-09-15
0.9644274,1.3073344,,3.337,-40.102,NETWORK18,2024-09-21
0.9367622,1.2705847,,3.31,-39.78,NETWORK18,2024-09-28
0.8957202,1.2149171,,3.27,-39.293,NETWORK18,2024-10-05
0.9301314,1.261591,,3.304,-39.701,NETWORK18,2024-10-12
0.9351396,0.84482276,,3.04,-40.399,NETWORK18,2024-10-19
