priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.502982,5.802687,36.901276,4.432,28.18,NGLFINE,2024-07-07
4.7486835,6.123654,38.98907,4.681,29.762,NGLFINE,2024-07-13
4.683927,6.032268,38.315403,4.61,29.312,NGLFINE,2024-07-20
4.8360577,6.236327,39.682682,4.768,30.318,NGLFINE,2024-07-27
4.839524,6.240797,39.681423,4.772,30.34,NGLFINE,2024-08-03
4.6420674,5.922391,37.593697,4.53,28.852,NGLFINE,2024-08-10
4.104404,5.5818887,34.844345,3.958,26.958,NGLFINE,2024-08-17
3.965554,5.3056054,33.114815,3.828,26.078,NGLFINE,2024-08-24
3.7104342,5.0634313,31.645105,3.651,24.87,NGLFINE,2024-09-01
3.8608341,5.261852,32.894855,3.796,25.86,NGLFINE,2024-09-08
3.664497,4.9999175,31.248163,3.604,24.552,NGLFINE,2024-09-15
3.6674292,4.9966245,31.259752,3.602,24.536,NGLFINE,2024-09-21
3.5554674,4.8456035,30.301556,3.491,23.782,NGLFINE,2024-09-28
3.345341,4.562616,28.490011,3.284,22.37,NGLFINE,2024-10-05
3.6655295,5.0021524,31.248344,3.606,24.564,NGLFINE,2024-10-12
3.6009753,4.8563066,30.30163,3.499,23.836,NGLFINE,2024-10-19
