priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
5.057619,8.801221,32.157745,5.132,22.347,NH,2024-07-07
4.9200134,8.56176,31.25868,4.994,21.748,NH,2024-07-13
5.028479,8.750511,31.947802,5.102,22.22,NH,2024-07-20
5.045882,8.780796,32.05013,5.12,22.296,NH,2024-07-27
4.981329,8.668461,30.963524,5.055,22.015,NH,2024-08-03
4.8811936,8.6762085,31.053696,4.951,21.106,NH,2024-08-10
4.6890206,8.334625,29.763584,4.738,20.199,NH,2024-08-17
5.0280013,8.905104,31.848867,5.08,21.655,NH,2024-08-24
5.0279975,8.937149,31.94738,5.098,21.732,NH,2024-09-01
5.332503,9.4784,33.899246,5.402,23.029,NH,2024-09-08
5.179557,9.206542,32.893806,5.25,22.378,NH,2024-09-15
4.932704,8.767766,31.310364,5.003,21.326,NH,2024-09-21
4.771635,8.48147,30.303219,4.842,20.64,NH,2024-09-28
4.8288903,8.5832405,30.674553,4.899,20.883,NH,2024-10-05
4.848898,8.600848,30.768456,4.909,20.926,NH,2024-10-12
5.0594983,8.993141,32.15563,5.13,21.866,NH,2024-10-19
