quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-07-07
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-07-13
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-07-20
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-07-27
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-08-03
2.468,2.529,6.751,0.18681999,0.36207,0.23995,0.20583001,0.27528,0.57118,NINSYS,2024-08-10
,,6.751,0.17961,0.34869,0.23536,0.229,,,NINSYS,2024-08-17
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-08-24
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-09-01
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-09-08
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-09-15
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-09-21
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-09-28
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-10-05
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-10-12
,,6.751,0.18056999,0.34519002,0.23125,0.21604,,,NINSYS,2024-10-19
