priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
0.70486635,1.7834291,15.551518,1.164,8.972,NITINSPIN,2024-07-07
0.6916173,1.75107,15.275877,1.152,8.874,NITINSPIN,2024-07-13
0.7487876,1.8974216,16.55969,1.209,9.319,NITINSPIN,2024-07-20
0.7937904,2.0915763,16.586315,1.209,9.026,NITINSPIN,2024-07-27
0.7672396,2.0685327,16.390831,1.2,8.962,NITINSPIN,2024-08-03
0.8034279,2.124916,16.837606,1.221,9.118,NITINSPIN,2024-08-10
0.75987464,2.045489,16.208237,1.186,8.852,NITINSPIN,2024-08-17
0.8129761,2.1675713,17.182278,1.237,9.236,NITINSPIN,2024-08-24
0.7671487,2.0682876,16.39526,1.2,8.961,NITINSPIN,2024-09-01
0.7602382,2.0496564,16.234951,1.193,8.91,NITINSPIN,2024-09-08
0.75514674,2.0356834,16.130537,1.188,8.871,NITINSPIN,2024-09-15
0.7295959,1.9670428,15.586637,1.163,8.681,NITINSPIN,2024-09-21
0.7102285,1.9148268,15.172882,1.143,8.536,NITINSPIN,2024-09-28
0.68213195,1.833929,14.537504,1.113,8.312,NITINSPIN,2024-10-05
0.73805207,1.9898412,15.7734165,1.171,8.744,NITINSPIN,2024-10-12
0.74432546,1.9922926,15.798989,1.172,8.751,NITINSPIN,2024-10-19
