priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.5343945,3.0093205,38.58942,3.287,24.345,NOCIL,2024-07-07
3.4663365,2.9513736,37.846348,3.219,23.84,NOCIL,2024-07-13
3.379277,2.873597,36.889168,3.13,24.258,NOCIL,2024-07-20
3.5800261,3.0443056,38.30864,3.331,25.813,NOCIL,2024-07-27
3.5800261,3.0443056,39.080605,3.331,25.813,NOCIL,2024-07-27
3.6723163,3.1218116,39.974876,3.422,26.519,NOCIL,2024-08-03
3.491189,2.9687624,40.185925,3.044,23.596,NOCIL,2024-08-10
3.3824136,2.827486,38.32447,3.019,25.132,NOCIL,2024-08-17
3.4626305,2.8412213,38.459496,3.145,26.182,NOCIL,2024-08-24
3.322193,2.7730358,37.586437,3.064,25.503,NOCIL,2024-09-01
3.5116005,2.927066,39.674202,3.248,27.037,NOCIL,2024-09-08
3.3729174,2.815713,38.164894,3.115,25.928,NOCIL,2024-09-15
3.1837087,2.6572678,35.969456,2.925,24.351,NOCIL,2024-09-21
3.3805726,2.8196373,38.167328,3.119,25.967,NOCIL,2024-09-28
3.3376725,2.78579,37.75931,3.079,25.63,NOCIL,2024-10-05
3.4099371,2.8466172,38.63515,3.152,26.236,NOCIL,2024-10-12
3.550965,2.8868415,40.143246,3.2,26.636,NOCIL,2024-10-19
