priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
13.743461,,,1730.572,7717.633,NTL,2024-07-07
13.743471,,,1729.944,7714.834,NTL,2024-07-13
13.74347,,,1729.356,7712.209,NTL,2024-07-20
13.743473,,,1728.806,7709.759,NTL,2024-07-27
13.74347,,,1729.434,7712.559,NTL,2024-08-03
13.743461,,,1731.749,7722.882,NTL,2024-08-10
14.511744,,,1731.082,7719.908,NTL,2024-08-17
17.92464,,,2256.857,,NTL,2024-08-24
17.924637,,,2257.624,,NTL,2024-09-01
17.92464,,,2256.857,,NTL,2024-09-08
17.924648,,,2256.038,,NTL,2024-09-15
17.92463,,,2255.27,,NTL,2024-09-21
17.924631,,,2254.605,,NTL,2024-09-28
17.924644,,,2257.368,,NTL,2024-10-05
17.976582,,,2258.903,,NTL,2024-10-12
17.92464,,,2257.982,,NTL,2024-10-19
