priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.0720305,1.462394,,1.86,-14.57,NURECA,2024-07-07
2.9947948,1.425627,,1.783,-13.965,NURECA,2024-07-13
2.9257162,1.3883423,,1.704,-13.351,NURECA,2024-07-20
2.8963463,1.3787621,,1.684,-13.194,NURECA,2024-07-27
2.9431236,1.3999938,,1.729,-13.543,NURECA,2024-08-03
2.945115,1.3873066,454.0678,1.72,-13.864,NURECA,2024-08-10
2.8879352,1.3583072,452.24136,1.646,-13.271,NURECA,2024-08-17
3.381001,1.592632,530.2586,2.156,-17.378,NURECA,2024-08-24
3.2402864,1.526348,499.5763,2.015,-16.244,NURECA,2024-09-01
3.673429,1.7285663,585.614,2.445,-19.704,NURECA,2024-09-08
3.7036555,1.7446195,591.0526,2.479,-19.978,NURECA,2024-09-15
4.0730114,1.9178387,627.7119,2.846,-22.942,NURECA,2024-09-21
4.0153165,1.8914286,629.7414,2.79,-22.491,NURECA,2024-09-28
3.4986336,1.6470058,557.9824,2.271,-18.308,NURECA,2024-10-05
3.5052245,1.5571598,527.5439,2.081,-16.771,NURECA,2024-10-12
3.34724,1.5724361,523.5345,2.113,-17.032,NURECA,2024-10-19
