quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.138,0.449,49.02,0.013730001,0.60553,0.13845,0.092980005,0.02338,0.01654,NUVOCO,2024-07-07
0.138,0.449,49.02,0.013730001,0.60553,0.13845,0.092980005,0.02338,0.01654,NUVOCO,2024-07-13
0.138,0.449,49.02,0.013730001,0.60553,0.13845,0.092980005,0.02338,0.01654,NUVOCO,2024-07-20
0.138,0.449,49.02,0.013730001,0.60553,0.13845,0.092980005,0.02338,0.01654,NUVOCO,2024-07-27
0.138,0.449,49.02,0.013730001,0.60553,0.13845,0.092980005,0.02338,0.01654,NUVOCO,2024-08-03
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-08-10
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-08-17
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-08-24
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-09-01
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-09-08
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-09-15
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-09-21
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-09-28
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-10-05
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-10-12
,,49.02,0.01285,0.60273,0.13722,0.04823,,,NUVOCO,2024-10-19
