dividendRate,dividendYield,payoutRatio,lastDividendValue,lastDividendDate,symbol
240.0,0.023,0.8832,,,OFSS
240.0,0.023599999,0.8832,240.0,2024-05-07,OFSS
240.0,0.0222,0.8832,240.0,2024-05-07,OFSS
240.0,0.0216,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0231,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0227,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0226,0.89629996,240.0,2024-05-07,OFSS
240.0,0.022,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0218,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0221,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0196,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0217,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0211,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0219,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0208,0.89629996,240.0,2024-05-07,OFSS
240.0,0.0209,0.89629996,240.0,2024-05-07,OFSS
